Manufacturer,Model,Type,Subtype,Max RPM,Power (kW),Torque (Nm),Taper,X Travel (mm),Y Travel (mm),Z Travel (mm),ATC Capacity,Controller
Roku-Roku,MA-500,vertical_machining_center,graphite_with_automation,30000,11,15,HSK-E50,,,,24,FANUC 31i-B5
Sodick,OPM250L,HYBRID,additive-subtractive,45000,2.5,5.5,HSK-E25,,,,16,unknown unknown
Sodick,OPM350L,HYBRID,additive-subtractive,45000,3.7,7,HSK-E32,,,,20,unknown unknown
Sodick,HS430L,VMC,linear-motor-high-speed,40000,11,15,HSK-E40,,,,21,unknown unknown
Sodick,HS650L,VMC,linear-motor-high-speed,30000,18,30,HSK-A63,,,,30,unknown unknown
Sodick,UH450L,VMC,ultra-high-speed,60000,5.5,3.5,HSK-E25,,,,16,unknown unknown
Spinner,VC 560,VMC,3-axis-compact,15000,18,90,HSK-A63,,,,24,unknown unknown
Spinner,VC 850,VMC,3-axis,12000,22,140,HSK-A63,,,,32,unknown unknown
Spinner,VC 1200,VMC,3-axis-large,10000,28,200,HSK-A100,,,,40,unknown unknown
Spinner,U 620,5AXIS,trunnion-compact,18000,20,85,HSK-A63,,,,40,unknown unknown
Spinner,U 1520,5AXIS,trunnion-large,12000,32,200,HSK-A100,,,,80,unknown unknown
Spinner,TTS 300,lathe,2-axis-compact,6000,15,180,unknown,,,,,unknown unknown
Spinner,TC 600-65 SMCY,lathe,4-axis-sub-y,,15,,unknown,,,,,unknown unknown
Takumi,H10,vertical_machining_center,high_speed_graphite,40000,18.5,9.5,HSK-E40,,,,16,FANUC 31i-B5
Takumi,H13,vertical_machining_center,high_speed_graphite,30000,22,25,HSK-E50,,,,24,FANUC 31i-B5
Takumi,V11A,vertical_machining_center,high_precision_vmc,20000,15,80,BBT40,,,,24,FANUC 31i-B5
Takumi,V15,vertical_machining_center,high_precision_vmc,15000,22,140,BBT40,,,,30,FANUC 31i-B5
Takumi,U600,vertical_machining_center,5_axis_trunnion,20000,15,120,HSK-A63,,,,32,FANUC 31i-B5
Takumi,DP-1612,double_column_machining_center,bridge_type,8000,15,400,BT50,,,,32,FANUC 31i-B5
Takumi,S500,vertical_machining_center,drill_tap_center,20000,11,15,BT30,,,,21,FANUC 0i-MF Plus
Takumi,UM-400,vertical_machining_center,ultra_precision,60000,15,2.5,HSK-E32,,,,12,FANUC 31i-B5
Toyoda,FH400J,HMC,4-axis,15000,25,119,BBT40,,,,60,unknown unknown
Toyoda,FH550J,HMC,4-axis,14000,35,178,BBT50,,,,90,unknown unknown
Toyoda,FH800SXJ,HMC,4-axis-large,10000,50,420,BBT50,,,,120,unknown unknown
Toyoda,FV1265,VMC,3-axis,12000,20,119,BBT40,,,,30,unknown unknown
Toyoda,FV1680,VMC,3-axis-large,10000,30,200,BBT50,,,,40,unknown unknown
Toyoda,FA450V,5AXIS,trunnion,12000,25,143,BBT40,,,,60,unknown unknown
Toyoda,FA630V,5AXIS,trunnion,10000,35,220,BBT50,,,,90,unknown unknown
Yasda,YBM 640V3,VMC,ultra-precision,20000,12,40,HSK-A63,,,,24,unknown unknown
Yasda,YBM 950V3,VMC,ultra-precision,15000,18,80,HSK-A63,,,,30,unknown unknown
Yasda,YMC 430,5AXIS,trunnion-precision,30000,15,28,HSK-E40,,,,20,unknown unknown
Yasda,YMC 650,5AXIS,trunnion-precision,24000,20,55,HSK-A63,,,,40,unknown unknown
Yasda,H40i,VMC,micro-precision,40000,5.5,8,HSK-E25,,,,16,unknown unknown
Mazak,,turning_center,,,,,A2-6,,,,,MAZATROL SmoothG
Mazak,,turning_center,,,,,A2-8,,,,,MAZATROL SmoothG
Mazak,,turning_center,,,,,A2-6,,,,,MAZATROL SmoothG
Mazak,,turning_center,,,,,A2-15,,,,,MAZATROL SmoothG
Mazak,,turning_center,,,,,A2-6,,,,,MAZATROL SmoothG
Mazak,,5axis_vtl_millturn,,,,,,,,,40,MAZATROL SmoothX
Mazak,,5axis_vtl_millturn,,,,,,,,,60,MAZATROL SmoothX
Mazak,,5axis_vtl_millturn,,,,,,,,,80,MAZATROL SmoothX
Mazak,,mill_turn_center,,,,,A2-8,,,,40,MAZATROL SmoothX
Mazak,,mill_turn_center,,,,,A2-11,,,,60,MAZATROL SmoothX
Mazak,,twin_spindle_turning,,,,,A2-6,,,,,MAZATROL SmoothG
Mazak,,twin_spindle_turning,,,,,A2-8,,,,,MAZATROL SmoothG
Mazak,,vertical_traveling_column,,,,,CAT50,,,,30,MAZATROL SmoothG
Mazak,,5axis_vertical_traveling,,,,,BT40,,,,30,MAZATROL SmoothX
Mazak,,5axis_machining_center,,,,,HSK-A63,,,,30,MAZATROL SmoothX
Mazak,,5axis_mill_turn,,,,,HSK-A63,,,,40,MAZATROL SmoothX
Mazak,,5axis_mill_turn,,,,,HSK-A100,,,,60,MAZATROL SmoothX
Mazak,,horizontal_machining_center,,,,,BT40,,,,40,MAZATROL SmoothG
Mazak,,horizontal_machining_center,,,,,BT40,,,,60,MAZATROL SmoothG
Mazak,,horizontal_machining_center,,,,,CAT50,,,,120,MAZATROL SmoothG
Mazak,,vertical_machining_center,,,,,BT40,,,,24,MAZATROL SmoothG
Mazak,,vertical_machining_center,,,,,BT40,,,,30,MAZATROL SmoothG
Mazak,,fiber_laser_cutter,,,,,,,,,,MAZATROL PreView
Mazak,,fiber_laser_cutter,,,,,,,,,,MAZATROL PreView
Mazak,,vertical_machining_center,,,,,CAT40,,,,16,MAZATROL SmoothEz
Mazak,,horizontal_machining_center,,,,,CAT50,,,,80,MAZATROL SmoothX
Mazak,,horizontal_machining_center,,,,,CAT50,,,,120,MAZATROL SmoothX
Okuma,,turning_center,,,,,A2-8,,,,,OSP-P300LA
Okuma,,turning_center,,,,,A2-8,,,,,OSP-P300LA
Okuma,,turning_center,,,,,A2-11,,,,,OSP-P300LA
Okuma,,turning_center,,,,,A2-11,,,,,OSP-P300LA
Okuma,,twin_turret_turning,,,,,A2-8,,,,,OSP-P300LA
Okuma,,twin_turret_turning,,,,,A2-11,,,,,OSP-P300LA
Okuma,,mill_turn_center,,,,,A2-11,,,,60,OSP-P300SA
Okuma,,mill_turn_center,,,,,A2-8,,,,40,OSP-P300SA
Okuma,,mill_turn_center,,,,,A2-11,,,,80,OSP-P300SA
Okuma,,5axis_vtl_millturn,,,,,,,,,40,OSP-P300SA
Okuma,,5axis_vtl_millturn,,,,,,,,,60,OSP-P300SA
DN Solutions,,5axis_machining_center,,,,,BT40,,,,30,31i-B5
DN Solutions,,turning_center,,,,,A2-6,,,,,0i-TF Plus
DN Solutions,,turning_center,,,,,A2-11,,,,,0i-TF Plus
DN Solutions,,turning_center,,,,,A2-8,,,,,0i-TF Plus
EMAG,,vertical_turning_grinding,,,,,chuck,,,,,SINUMERIK 840D sl
EMAG,,vertical_chuck_lathe,,,,,chuck,,,,,SINUMERIK 840D sl
EMAG,,vertical_shaft_lathe,,,,,,,,,,SINUMERIK 840D sl
Index,,turn_grind_center,,,,,collet_90mm,,,,,SINUMERIK 840D sl
Index,,turning_center,,,,,,,,,,SINUMERIK 840D sl
Index,,multi_spindle_auto,,,,,collet_32mm,,,,,SINUMERIK 840D sl
Index,,multi_spindle_auto,,,,,collet_40mm,,,,,SINUMERIK 840D sl
YCM,,5axis_machining_center,,,,,BT40,,,,24,31i-B5
YCM,,vertical_machining_center,,,,,BT40,,,,24,0i-MF
YCM,,vertical_machining_center,,,,,CAT50,,,,30,0i-MF
YCM,,5axis_machining_center,,,,,HSK-A63,,,,40,31i-B5
YCM,,turning_center,,,,,A2-8,,,,30,0i-TF
YCM,,horizontal_machining_center,,,,,CAT50,,,,60,31i-B5
Matsuura,,5axis_machining_center,,,,,HSK-E40,,,,30,31i-B5
Matsuura,,5axis_pallet_machining,,,,,HSK-A63,,,,40,31i-B5
Matsuura,,5axis_pallet_machining,,,,,HSK-A63,,,,60,31i-B5
Matsuura,,horizontal_machining_center,,,,,HSK-A63,,,,60,31i-B5
Matsuura,,horizontal_machining_center,,,,,HSK-A63,,,,80,31i-B5
DN Solutions,,turning_center,,,,,A2-5,,,,,0i-TF Plus
DN Solutions,,turning_center,,,,,A2-6,,,,,0i-TF Plus
DN Solutions,,turning_center,,,,,A2-8,,,,,0i-TF Plus
DN Solutions,,vertical_machining_center,,,,,BT40,,,,24,0i-MF Plus
DN Solutions,,vertical_machining_center,,,,,BT40,,,,30,0i-MF Plus
DN Solutions,,horizontal_machining_center,,,,,BT40,,,,60,31i-B5
DN Solutions,,5axis_machining_center,,,,,BT40,,,,40,31i-B5
DN Solutions,,mill_turn_center,,,,,,,,,,31i-B5
Toyoda,,horizontal_machining_center,,,,,BT40,,,,40,31i-B5
Toyoda,,horizontal_machining_center,,,,,BT40,,,,60,31i-B5
Toyoda,,horizontal_machining_center,,,,,CAT50,,,,80,31i-B5
Toyoda,,vertical_machining_center,,,,,CAT50,,,,30,0i-MF
Toyoda,,vertical_machining_center,,,,,CAT50,,,,30,0i-MF
Leadwell,,5axis_machining_center,,,,,BT40,,,,24,0i-MF
Leadwell,,vertical_machining_center,,,,,CAT50,,,,24,0i-MF
Leadwell,,turning_center,,,,,A2-8,,,,,0i-TF
Leadwell,,turning_center,,,,,A2-6,,,,,0i-TF
Leadwell,,turning_center,,,,,A2-11,,,,,0i-TF
Hardinge,,turning_center,,,,,A2-8,,,,,0i-TF Plus
Hardinge,,turning_center,,,,,A2-8,,,,,0i-TF Plus
Hardinge,,vertical_machining_center,,,,,BT40,,,,24,0i-MF
Hardinge,,vertical_machining_center,,,,,CAT50,,,,30,0i-MF
Hardinge,,turning_center,,,,,A2-6,,,,,0i-TF
Hardinge,,turning_center,,,,,A2-11,,,,,0i-TF
Feeler,,vertical_machining_center,,,,,BT40,,,,24,0i-MF
Feeler,,vertical_machining_center,,,,,CAT50,,,,24,0i-MF
Feeler,,turning_center,,,,,A2-6,,,,,0i-TF
Feeler,,5axis_machining_center,,,,,BT40,,,,30,31i-B5
Traub,,swiss_lathe,,,,,collet_12mm,,,,,TX8i-s V8
Traub,,turning_center,,,,,A2-8,,,,,TX8i-s V8
Traub,,turning_center,,,,,A2-11,,,,,TX8i-s V8
Makino,,vertical_machining_center,,,,,HSK-A63,,,,20,Professional 6
Makino,,vertical_machining_center,,,,,HSK-A63,,,,30,Professional 6
Makino,,vertical_machining_center,,,,,HSK-A100,,,,40,Professional 6
Makino,,horizontal_machining_center,,,,,HSK-A63,,,,40,Professional 6
Makino,,horizontal_machining_center,,,,,HSK-A63,,,,60,Professional 6
Makino,,horizontal_machining_center,,,,,HSK-A63,,,,60,Professional 6
Makino,,horizontal_machining_center,,,,,CAT50,,,,79,Professional 6
Makino,,horizontal_machining_center,,,,,CAT50,,,,106,Professional 6
Makino,,vertical_machining_center,,,,,HSK-E40,,,,15,Professional 6
Makino,,vertical_machining_center,,,,,HSK-A63,,,,30,Professional 6
Makino,,wire_edm,,,,,,,,,,Hyper-i
Nakamura-Tome,,mill_turn_center,,,,,A2-6,,,,,31i-B5
Nakamura-Tome,,mill_turn_center,,,,,A2-8,,,,,31i-B5
Nakamura-Tome,,turning_center,,,,,A2-6,,,,,31i-B5
Nakamura-Tome,,turning_center,,,,,A2-5,,,,,31i-B
Nakamura-Tome,,turning_center,,,,,A2-6,,,,,31i-B5
Nakamura-Tome,,turning_center,,,,,A2-8,,,,,31i-B
Chiron,,vertical_machining_center,,,,,HSK-E32,,,,12,SINUMERIK 840D sl
Chiron,,5axis_machining_center,,,,,HSK-A63,,,,24,SINUMERIK 840D sl
Chiron,,5axis_machining_center,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
Chiron,,vertical_machining_center,,,,,HSK-A63,,,,40,SINUMERIK 840D sl
Chiron,,5axis_dual_spindle,,,,,HSK-A63,,,,24,SINUMERIK 840D sl
Chiron,,dual_spindle_vmc,,,,,HSK-A63,,,,36,SINUMERIK 840D sl
Chiron,,5axis_machining_center,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
Hyundai WIA,,vertical_machining_center,,,,,BT40,,,,24,31i-B
Hyundai WIA,,vertical_machining_center,,,,,BT40,,,,30,31i-B
Hyundai WIA,,horizontal_machining_center,,,,,BT50,,,,60,31i-B
Hyundai WIA,,5axis_machining_center,,,,,HSK-A63,,,,30,31i-B5
Hyundai WIA,,turning_center,,,,,A2-6,,,,,31i-B
Hyundai WIA,,turning_center,,,,,A2-6,,,,,31i-B
Hyundai WIA,,turning_center,,,,,A2-11,,,,,31i-B
Heller,,horizontal_machining_center,,,,,HSK-A63,,,,60,SINUMERIK 840D sl
Heller,,horizontal_machining_center,,,,,HSK-A63,,,,80,SINUMERIK 840D sl
Heller,,horizontal_machining_center,,,,,HSK-A100,,,,120,SINUMERIK 840D sl
Heller,,5axis_machining_center,,,,,HSK-A63,,,,60,SINUMERIK 840D sl
Heller,,5axis_machining_center,,,,,HSK-A100,,,,80,SINUMERIK 840D sl
Heller,,horizontal_machining_center,,,,,HSK-A63,,,,40,SINUMERIK 840D sl
Okuma,,turning_center,,,,,A2-6,,,,,OSP-P300L
Okuma,,mill_turn_center,,,,,A2-8,,,,,OSP-P300S
Okuma,,turning_center,,,,,A2-5,,,,,OSP-P300L
Okuma,,turning_center,,,,,A2-6,,,,,OSP-P300L
Hermle,,5axis_mill_turn,,,,,HSK-A63,,,,60,TNC 640
Hermle,,5axis_mill_turn,,,,,HSK-A100,,,,80,TNC 640
Hermle,,5axis_machining_center,,,,,HSK-A63,,,,30,TNC 640
Hermle,,5axis_machining_center,,,,,HSK-A63,,,,50,TNC 640
Spinner,,vertical_machining_center,,,,,BT40,,,,24,SINUMERIK 828D
Spinner,,vertical_machining_center,,,,,BT40,,,,30,SINUMERIK 828D
Spinner,,5axis_machining_center,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
Spinner,,turning_center,,,,,A2-5,,,,,SINUMERIK 828D
Spinner,,turning_center,,,,,A2-6,,,,,SINUMERIK 828D
Spinner,,turning_center,,,,,A2-8,,,,,SINUMERIK 840D sl
Grob,,5axis_machining_center,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
Grob,,5axis_mill_turn,,,,,HSK-A63,,,,48,SINUMERIK 840D sl
Grob,,5axis_machining_center,,,,,HSK-A100,,,,80,SINUMERIK 840D sl
Citizen,,swiss_lathe,,,,,collet_12mm,,,,,Cincom M70
Citizen,,swiss_lathe,,,,,collet_16mm,,,,,Cincom M70
Citizen,,swiss_lathe,,,,,collet_16mm,,,,,Cincom M70
Citizen,,turning_center,,,,,collet_51mm,,,,,M80
Citizen,,turning_center,,,,,collet_42mm,,,,,M80
Star,,swiss_lathe,,,,,collet_10mm,,,,,31i-B5
Star,,swiss_lathe,,,,,collet_16mm,,,,,31i-B5
Tsugami,,swiss_lathe,,,,,collet_20mm,,,,,31i-B5
Tsugami,,swiss_lathe,,,,,collet_20mm,,,,,31i-B5
Tsugami,,swiss_lathe,,,,,collet_38mm,,,,,31i-B5
Hartford,,vertical_machining_center,,,,,BT40,,,,24,0i-MF
Hartford,,vertical_machining_center,,,,,BT40,,,,24,0i-MF
Hartford,,5axis_machining_center,,,,,BT40,,,,30,31i-B5
Quaser,,vertical_machining_center,,,,,BT40,,,,24,0i-MF
Quaser,,5axis_machining_center,,,,,HSK-A63,,,,30,31i-B5
Mazak,,turning_center,,,,,A2-5,,,,,MAZATROL SmoothG
Mazak,,turning_center,,,,,A2-6,,,,,MAZATROL SmoothG
Mazak,,turning_center,,,,,A2-8,,,,,MAZATROL SmoothG
Mazak,,turning_center,,,,,A2-8,,,,,MAZATROL SmoothG
Mazak,,turning_center,,,,,A2-11,,,,,MAZATROL SmoothG
Mazak,,turning_center,,,,,A2-15,,,,,MAZATROL SmoothG
Mazak,,mill_turn_center,,,,,,,,,,MAZATROL SmoothX
Mazak,,mill_turn_center,,,,,,,,,,MAZATROL SmoothX
Mazak,,mill_turn_center,,,,,,,,,,MAZATROL SmoothX
Mazak,,mill_turn_center,,,,,,,,,,MAZATROL SmoothX
Mazak,,mill_turn_center,,,,,,,,,,MAZATROL SmoothX
Mazak,,vertical_machining_center,,,,,BT40,,,,24,MAZATROL SmoothG
Mazak,,vertical_machining_center,,,,,BT40,,,,30,MAZATROL SmoothG
Mazak,,horizontal_machining_center,,,,,CAT50,,,,120,MAZATROL SmoothX
Mazak,,vertical_traveling_column,,,,,BT40,,,,30,MAZATROL SmoothG
DN Solutions,,turning_center,,,,,A2-6,,,,,0i-TF Plus
DN Solutions,,turning_center,,,,,A2-8,,,,,0i-TF Plus
DN Solutions,,turning_center,,,,,A2-11,,,,,0i-TF Plus
DN Solutions,,turning_center,,,,,A2-11,,,,,0i-TF Plus
DN Solutions,,turning_center,,,,,A2-15,,,,,0i-TF Plus
DN Solutions,,turning_center,,,,,A2-20,,,,,31i-B
DN Solutions,,turning_center,,,,,A2-5,,,,,0i-TF Plus
DN Solutions,,turning_center,,,,,A2-6,,,,,0i-TF Plus
DN Solutions,,turning_center,,,,,A2-6,,,,,0i-TF Plus
DN Solutions,,vertical_machining_center,,,,,BT40,,,,30,0i-MF Plus
DN Solutions,,vertical_machining_center,,,,,BT40,,,,30,0i-MF Plus
DN Solutions,,vertical_machining_center,,,,,CAT50,,,,30,0i-MF Plus
DN Solutions,,vertical_machining_center,,,,,CAT50,,,,30,0i-MF Plus
DN Solutions,,5axis_machining_center,,,,,BT40,,,,30,31i-B5
DN Solutions,,5axis_machining_center,,,,,BT40,,,,30,31i-B5
DN Solutions,,5axis_machining_center,,,,,HSK-A63,,,,40,31i-B5
DN Solutions,,5axis_machining_center,,,,,HSK-A100,,,,60,31i-B5
DN Solutions,,horizontal_machining_center,,,,,BT40,,,,40,31i-B5
DN Solutions,,horizontal_machining_center,,,,,BT40,,,,60,31i-B5
DN Solutions,,horizontal_machining_center,,,,,CAT50,,,,60,31i-B5
DN Solutions,,horizontal_machining_center,,,,,CAT50,,,,80,31i-B5
DN Solutions,,horizontal_machining_center,,,,,CAT50,,,,120,31i-B5
DN Solutions,,mill_turn_center,,,,,,,,,,31i-B5
DN Solutions,,mill_turn_center,,,,,,,,,,31i-B5
DN Solutions,,mill_turn_center,,,,,,,,,,31i-B5
Makino,,vertical_machining_center,,,,,HSK-A100,,,,40,Professional 6
Makino,,horizontal_machining_center,,,,,HSK-A100,,,,100,Professional 6
Makino,,horizontal_machining_center,,,,,CAT50,,,,150,Professional 6
Makino,,5axis_machining_center,,,,,HSK-A100,,,,120,Professional 6
Makino,,sinker_edm,,,,,,,,,,Hyper-i
Makino,,wire_edm,,,,,,,,,,Hyper-i
Makino,,wire_edm,,,,,,,,,,Hyper-i
Hyundai WIA,,5axis_machining_center,,,,,BT40,,,,30,31i-B5
Hyundai WIA,,vertical_machining_center,,,,,BT40,,,,30,0i-MF Plus
Hyundai WIA,,vertical_machining_center,,,,,CAT50,,,,30,0i-MF Plus
Hyundai WIA,,horizontal_machining_center,,,,,BT40,,,,60,31i-B5
Hyundai WIA,,horizontal_machining_center,,,,,CAT50,,,,80,31i-B5
Hyundai WIA,,turning_center,,,,,A2-6,,,,,0i-TF Plus
Hyundai WIA,,turning_center,,,,,A2-8,,,,,0i-TF Plus
Hyundai WIA,,turning_center,,,,,A2-11,,,,,0i-TF Plus
Hyundai WIA,,vertical_machining_center,,,,,BT40,,,,24,0i-MF Plus
Nakamura-Tome,,turning_center,,,,,A2-5,,,,,31i-B5
Nakamura-Tome,,turning_center,,,,,A2-6,,,,,31i-B5
Nakamura-Tome,,mill_turn_center,,,,,A2-8,,,,,31i-B5
Nakamura-Tome,,mill_turn_center,,,,,,,,,,31i-B5
Nakamura-Tome,,turning_center,,,,,A2-6,,,,,0i-TF
Nakamura-Tome,,turning_center,,,,,A2-8,,,,,31i-B5
Chiron,,vertical_machining_center,,,,,HSK-E32,,,,12,SINUMERIK 840D sl
Chiron,,5axis_machining_center,,,,,HSK-A63,,,,24,SINUMERIK 840D sl
Chiron,,5axis_machining_center,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
Chiron,,5axis_twin_spindle,,,,,HSK-A63,,,,24,SINUMERIK 840D sl
Chiron,,vertical_machining_center,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
Spinner,,5axis_machining_center,,,,,HSK-A63,,,,40,SINUMERIK 840D sl
Spinner,,turning_center,,,,,A2-6,,,,,SINUMERIK 840D sl
Spinner,,turning_center,,,,,A2-8,,,,,SINUMERIK 840D sl
Spinner,,turning_center,,,,,A2-6,,,,,SINUMERIK 840D sl
AWEA,,vertical_machining_center,,,,,CAT50,,,,30,0i-MF
AWEA,,vertical_machining_center,,,,,CAT50,,,,30,0i-MF
AWEA,,double_column_machining_center,,,,,CAT50,,,,24,0i-MF
AWEA,,double_column_machining_center,,,,,CAT50,,,,30,0i-MF
AWEA,,double_column_machining_center,,,,,CAT50,,,,40,31i-B
AWEA,,5axis_double_column,,,,,HSK-A63,,,,30,31i-B5
Citizen,,swiss_lathe,,,,,collet_12mm,,,,,Cincom M70
Citizen,,swiss_lathe,,,,,collet_20mm,,,,,Cincom M70
Citizen,,swiss_lathe,,,,,collet_7mm,,,,,Cincom M70
Star,,swiss_lathe,,,,,collet_20mm,,,,,31i-B5
Tsugami,,swiss_lathe,,,,,collet_20mm,,,,,31i-B5
Tsugami,,swiss_lathe,,,,,collet_6mm,,,,,31i-B5
Tsugami,,swiss_lathe,,,,,collet_38mm,,,,,31i-B5
Traub,,swiss_lathe,,,,,collet_20mm,,,,,TX8i-s V8
Traub,,turning_center,,,,,A2-6,,,,,TX8i-s V8
DMG MORI,,5axis_machining_center,,,,,HSK-A63,,,,60,SINUMERIK 840D sl
DMG MORI,,5axis_machining_center,,,,,HSK-A63,,,,80,SINUMERIK 840D sl
DMG MORI,,5axis_machining_center,,,,,HSK-A100,,,,120,SINUMERIK 840D sl
DMG MORI,,5axis_machining_center,,,,,HSK-A100,,,,120,SINUMERIK 840D sl
DMG MORI,,5axis_machining_center,,,,,HSK-A100,,,,180,SINUMERIK 840D sl
DMG MORI,,mill_turn_center,,,,,A2-8,,,,,SINUMERIK 840D sl
DMG MORI,,mill_turn_center,,,,,A2-11,,,,,SINUMERIK 840D sl
DMG MORI,,mill_turn_center,,,,,A2-11,,,,,SINUMERIK 840D sl
DMG MORI,,mill_turn_center,,,,,A2-6,,,,,SINUMERIK 840D sl
DMG MORI,,mill_turn_center,,,,,A2-8,,,,,SINUMERIK 840D sl
DMG MORI,,mill_turn_center,,,,,A2-8,,,,,SINUMERIK 840D sl
DMG MORI,,swiss_lathe,,,,,collet_20mm,,,,,SINUMERIK 840D sl
DMG MORI,,swiss_lathe,,,,,collet_20mm,,,,,SINUMERIK 840D sl
DMG MORI,,swiss_lathe,,,,,collet_32mm,,,,,SINUMERIK 840D sl
DMG MORI,,swiss_lathe,,,,,collet_32mm,,,,,SINUMERIK 840D sl
DMG MORI,,swiss_lathe,,,,,collet_50mm,,,,,SINUMERIK 840D sl
DMG MORI,,5axis_machining_center,,,,,HSK-A63,,,,15,SINUMERIK ONE
DMG MORI,,vertical_machining_center,,,,,BT40,,,,15,SINUMERIK ONE
DMG MORI,,5axis_machining_center,,,,,HSK-A63,,,,30,SINUMERIK ONE
DMG MORI,,5axis_machining_center,,,,,HSK-A63,,,,40,SINUMERIK ONE
DMG MORI,,horizontal_machining_center,,,,,HSK-A63,,,,60,SINUMERIK 840D sl
DMG MORI,,turning_center,,,,,A2-8,,,,,31i-B
DMG MORI,,turning_center,,,,,A2-11,,,,,31i-B
DMG MORI,,turning_center,,,,,A2-6,,,,,31i-B
DMG MORI,,turning_center,,,,,A2-8,,,,,31i-B
DMG MORI,,turning_center,,,,,A2-8,,,,,31i-B
DMG MORI,,turning_center,,,,,A2-11,,,,,31i-B
DMG MORI,,turning_center,,,,,A2-11,,,,,31i-B
DMG MORI,,5axis_mill_turn,,,,,HSK-A63,,,,60,SINUMERIK 840D sl
DMG MORI,,5axis_mill_turn,,,,,HSK-A100,,,,120,SINUMERIK 840D sl
DMG MORI,,5axis_mill_turn,,,,,HSK-A100,,,,180,SINUMERIK 840D sl
DMG MORI,,5axis_gantry,,,,,HSK-A100,,,,120,SINUMERIK 840D sl
DMG MORI,,5axis_gantry,,,,,HSK-A100,,,,180,SINUMERIK 840D sl
DMG MORI,,5axis_gantry,,,,,HSK-A100,,,,240,SINUMERIK 840D sl
DMG MORI,,hybrid_additive_5axis,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
DMG MORI,,hybrid_additive_5axis,,,,,HSK-A100,,,,60,SINUMERIK 840D sl
DMG MORI,,laser_texturing,,,,,,,,,,SINUMERIK 840D sl
DMG MORI,,laser_drilling,,,,,,,,,,SINUMERIK 840D sl
DMG MORI,,5axis_ultrasonic,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
DMG MORI,,5axis_ultrasonic,,,,,HSK-A63,,,,60,SINUMERIK 840D sl
DMG MORI,,vertical_machining_center,,,,,BT40,,,,24,SINUMERIK 840D sl
DMG MORI,,vertical_machining_center,,,,,BT40,,,,24,SINUMERIK 840D sl
DMG MORI,,vertical_machining_center,,,,,BT40,,,,30,SINUMERIK 840D sl
DMG MORI,,vertical_machining_center,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
DMG MORI,,vertical_machining_center,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
DMG MORI,,vertical_machining_center,,,,,HSK-A63,,,,40,SINUMERIK 840D sl
DMG MORI,,5axis_machining_center,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
DMG MORI,,5axis_machining_center,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
DMG MORI,,5axis_machining_center,,,,,HSK-A63,,,,40,SINUMERIK 840D sl
DMG MORI,,5axis_machining_center,,,,,HSK-A63,,,,60,SINUMERIK 840D sl
DMG MORI,,5axis_machining_center,,,,,HSK-A100,,,,60,SINUMERIK 840D sl
DMG MORI,,5axis_machining_center,,,,,HSK-A100,,,,60,SINUMERIK 840D sl
DMG MORI,,5axis_machining_center,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
DMG MORI,,5axis_machining_center,,,,,HSK-A63,,,,30,SINUMERIK 840D sl
DMG MORI,,5axis_machining_center,,,,,HSK-A63,,,,40,SINUMERIK 840D sl
DMG MORI,,horizontal_machining_center,,,,,HSK-A63,,,,60,SINUMERIK 840D sl
DMG MORI,,horizontal_machining_center,,,,,HSK-A63,,,,60,SINUMERIK 840D sl
DMG MORI,,horizontal_machining_center,,,,,CAT50,,,,60,SINUMERIK 840D sl
DMG MORI,,horizontal_machining_center,,,,,CAT50,,,,80,SINUMERIK 840D sl
DMG MORI,,horizontal_machining_center,,,,,CAT50,,,,120,SINUMERIK 840D sl
DMG MORI,,horizontal_machining_center,,,,,CAT50,,,,120,SINUMERIK 840D sl
DMG MORI,,turning_center,,,,,A2-6,,,,,SINUMERIK 840D sl
DMG MORI,,turning_center,,,,,A2-6,,,,,SINUMERIK 840D sl
DMG MORI,,turning_center,,,,,A2-8,,,,,SINUMERIK 840D sl
DMG MORI,,turning_center,,,,,A2-6,,,,,SINUMERIK 840D sl
DMG MORI,,turning_center,,,,,A2-8,,,,,SINUMERIK 840D sl
DMG MORI,,turning_center,,,,,A2-8,,,,,SINUMERIK 840D sl
DMG MORI,,mill_turn_center,,,,,A2-11,,,,,SINUMERIK 840D sl
DMG MORI,,turning_center,,,,,A2-5,,,,,31i-B
DMG MORI,,turning_center,,,,,A2-6,,,,,31i-B
DMG MORI,,turning_center,,,,,A2-8,,,,,31i-B
DMG MORI,,turning_center,,,,,A2-11,,,,,31i-B
DMG MORI,,turning_center,,,,,A2-11,,,,,31i-B
DMG MORI,,mill_turn_center,,,,,,,,,,31i-B5
DMG MORI,,mill_turn_center,,,,,,,,,,31i-B5
