vendor,id,holder_type,taper,gauge_length_mm,body_diameter_mm,max_rpm,runout_um
tungaloy,HSKA63SRK8X85,shrink_fit,HSK-A63,85,14,,
tungaloy,HSKA63SRK10X50,shrink_fit,HSK-A63,50,16,,
tungaloy,HSKA63SRK10X85,shrink_fit,HSK-A63,85,16,,
tungaloy,HSKA63SRK12X50,shrink_fit,HSK-A63,50,20,,
tungaloy,HSKE40SEM3/4X2.000,side_lock,HSK-E40,30.8,45,,
tungaloy,HSKA63SEM16X50,side_lock,HSK-A63,24,38,,
tungaloy,HSKA63SEM22X50,side_lock,HSK-A63,24,47,,
tungaloy,HSKA63SEM27X60,side_lock,HSK-A63,34,58,,
tungaloy,HSKA63SEM32X60,side_lock,HSK-A63,34,66,,
tungaloy,HSKA63SEM40X60,side_lock,HSK-A63,34,82,,
tungaloy,HSKA100SEM22X50,side_lock,HSK-A100,21,47,,
tungaloy,HSKA100SEM27X50,side_lock,HSK-A100,21,58,,
tungaloy,HSKA100SEM32X50,side_lock,HSK-A100,21,66,,
tungaloy,HSKA100SEM40X60,side_lock,HSK-A100,31,82,,
tungaloy,HSKA63SEMC16X60,side_lock,HSK-A63,34,32,,
tungaloy,HSKA63SEMC22X60,side_lock,HSK-A63,34,40,,
tungaloy,HSKA63SEMC27X60,side_lock,HSK-A63,34,48,,
tungaloy,HSKA63SEMC32X60,side_lock,HSK-A63,34,58,,
tungaloy,HSKA63SEMC40X70,side_lock,HSK-A63,44,70,,
tungaloy,HSKA100SEMC16X60,side_lock,HSK-A100,31,32,,
tungaloy,HSKA100SEMC22X60,side_lock,HSK-A100,31,40,,
tungaloy,HSKA100SEMC27X60,side_lock,HSK-A100,31,48,,
tungaloy,HSKA100SEMC32X60,side_lock,HSK-A100,31,58,,
tungaloy,HSKA100SEMC40X70,side_lock,HSK-A100,41,70,,
tungaloy,HSKA100SEMC50X80,side_lock,HSK-A100,51,90,,
tungaloy,HSKA63CF4-S,face_mill,HSK-A63,44,44.5,,
tungaloy,HSKA80CF4-S,face_mill,HSK-A80,47,44.5,,
tungaloy,HSKA100CF4-S,face_mill,HSK-A100,47,44.5,,
tungaloy,HSKA63ODP6X59,oil_hole_drill,HSK-A63,25,10,,
tungaloy,HSKA63ODP6X109,oil_hole_drill,HSK-A63,75,23,,
tungaloy,HSKA63ODP8X59,oil_hole_drill,HSK-A63,25,15,,
tungaloy,HSKA63ODP8X109,oil_hole_drill,HSK-A63,75,23,,
tungaloy,HSKA63ODP10X59,oil_hole_drill,HSK-A63,25,20,,
tungaloy,HSKA63ODP10X109,oil_hole_drill,HSK-A63,75,28,,
tungaloy,HSKA63ODP12X59,oil_hole_drill,HSK-A63,25,24,,
tungaloy,HSKA63ODP12X109,oil_hole_drill,HSK-A63,75,31,,
tungaloy,HSKA63ODP16X59,oil_hole_drill,HSK-A63,25,34,,
tungaloy,HSKA63ODP16X109,oil_hole_drill,HSK-A63,75,34,,
tungaloy,HSKA100ODP12X87,oil_hole_drill,HSK-A100,50,30,,
tungaloy,HSKA100ODP12X137,oil_hole_drill,HSK-A100,100,30,,
tungaloy,HSKA100ODP12X187,oil_hole_drill,HSK-A100,150,40,,
tungaloy,HSKA100ODP12X237,oil_hole_drill,HSK-A100,200,46,,
tungaloy,HSKA100ODP16X87,oil_hole_drill,HSK-A100,50,31.5,,
tungaloy,HSKA100ODP16X137,oil_hole_drill,HSK-A100,100,41.5,,
tungaloy,HSKA100ODP16X187,oil_hole_drill,HSK-A100,150,55,,
tungaloy,HSKE40ODP10X53,oil_hole_drill,HSK-E40,25,20,,
tungaloy,HSKE40ODP10X103,oil_hole_drill,HSK-E40,75,28,,
tungaloy,HSKE40ODP12X53,oil_hole_drill,HSK-E40,25,24,,
tungaloy,HSKE40ODP12X103,oil_hole_drill,HSK-E40,75,31,,
tungaloy,HSKE50ODP10X59,oil_hole_drill,HSK-E50,25,20,,
tungaloy,HSKE50ODP10X109,oil_hole_drill,HSK-E50,75,28,,
tungaloy,HSKE50ODP12X59,oil_hole_drill,HSK-E50,25,24,,
tungaloy,HSKE50ODP16X59,oil_hole_drill,HSK-E50,25,34,,
tungaloy,HSKE50ODP16X109,oil_hole_drill,HSK-E50,75,34,,
tungaloy,HSKE63ODP10X59,oil_hole_drill,HSK-E63,25,20,,
tungaloy,HSKE63ODP10X109,oil_hole_drill,HSK-E63,75,28,,
tungaloy,HSKE63ODP12X59,oil_hole_drill,HSK-E63,25,24,,
tungaloy,HSKE63ODP12X109,oil_hole_drill,HSK-E63,75,31,,
tungaloy,HSKA63B16MN100,boring,HSK-A63,74,63,,
tungaloy,HSKA63B16MN200,boring,HSK-A63,174,63,,
tungaloy,HSKA100B16MN100,boring,HSK-A100,71,102,,
tungaloy,CAT30ER16X2.750,ER,CAT30,34.8,31.7,,
tungaloy,CAT30ER20X2.562,ER,CAT30,13.06,27.99,,
tungaloy,CAT30ER32X3.268,ER,CAT30,48.01,31.7,,
tungaloy,CAT40ER16X3.937,ER,CAT40,10.06,34.8,,
tungaloy,CAT40ER16X5.906,ER,CAT40,85.09,44.5,,
tungaloy,CAT40ER20X3.937,ER,CAT40,13.06,65.02,,
tungaloy,CAT40ER20X5.906,ER,CAT40,96.01,34.01,,
tungaloy,CAT40ER25X2.562,ER,CAT40,16.05,29.97,,
tungaloy,CAT40ER25X4.000,ER,CAT40,66.55,44.5,,
tungaloy,CAT40ER25X6.000,ER,CAT40,16.05,117.35,,
tungaloy,CAT40ER32X2.562,ER,CAT40,2159,44.5,,
tungaloy,CAT40ER32X4.000,ER,CAT40,20.04,49.99,,
tungaloy,CAT40ER32X6.000,ER,CAT40,49.99,44.5,,
tungaloy,CAT40ER40X3.359,ER,CAT40,26.03,62.99,,
tungaloy,CAT40ER40X4.000,ER,CAT40,2159,44.5,,
tungaloy,CAT50ER16X3.937,ER,CAT50,10.06,65.02,,
tungaloy,CAT50ER16X5.906,ER,CAT50,88.65,69.9,,
tungaloy,CAT50ER16X8.000,ER,CAT50,10.06,75.69,,
tungaloy,CAT50ER20X3.937,ER,CAT50,65.02,69.9,,
tungaloy,CAT50ER20X5.906,ER,CAT50,13.06,115.06,,
tungaloy,CAT50ER20X8.000,ER,CAT50,117.35,69.9,,
tungaloy,CAT50ER25X4.000,ER,CAT50,16.05,65.53,,
tungaloy,CAT50ER25X6.000,ER,CAT50,117.35,69.9,,
tungaloy,CAT50ER25X8.000,ER,CAT50,16.05,167.13,,
tungaloy,CAT50ER32X4.000,ER,CAT50,64.52,69.9,,
tungaloy,CAT50ER32X6.000,ER,CAT50,20.04,116.33,,
tungaloy,CAT50ER32X8.000,ER,CAT50,167.13,69.9,,
tungaloy,CAT50ER40X4.000,ER,CAT50,26.03,66.55,,
tungaloy,CAT50ER40X6.000,ER,CAT50,117.35,69.9,,
tungaloy,CAT50ER40X8.000,ER,CAT50,26.03,167.13,,
tungaloy,CAT50ER50X4.000,ER,CAT50,77.98,69.9,,
tungaloy,CAT40FCMAXIN1-1/4X4.16,milling_chuck,CAT40,86.61,68.99,,
tungaloy,CAT40MAXIN3/4X3.75,milling_chuck,CAT40,95.1,19.05,,
tungaloy,CAT50MAXIN1-1/4X5.314,milling_chuck,CAT50,135,31.75,,
tungaloy,CAT40EM3/16X2.500,end_mill,CAT40,28.47,22,,
tungaloy,CAT40EM1/4X2.500,end_mill,CAT40,28.47,25.4,,
tungaloy,CAT40EM3/8X2.500,end_mill,CAT40,28.47,31.7,,
tungaloy,CAT40EM3/8X2.500B,end_mill,CAT40,28.47,31.7,,
tungaloy,CAT40EM7/8X4.000,end_mill,CAT40,66.55,51.99,,
tungaloy,CAT40EM1X4.000,end_mill,CAT40,66.55,65,,
tungaloy,CAT40EM1X4.000B,end_mill,CAT40,66.55,65,,
tungaloy,CAT40EM1-1/4X4.250,end_mill,CAT40,72.9,69.9,,
tungaloy,CAT40EM1-1/4X4.250B,end_mill,CAT40,72.9,69.9,,
tungaloy,CAT40EM1-1/2X4.625,end_mill,CAT40,82.42,80.01,,
tungaloy,CAT40EM1-1/2X4.625B,end_mill,CAT40,82.42,80.01,,
tungaloy,CAT50EM1/4X2.500,end_mill,CAT50,28.45,25.4,,
tungaloy,CAT50EM1/4X4.500,end_mill,CAT50,80.01,25.4,,
tungaloy,CAT50EM1/4X6.250,end_mill,CAT50,139.7,25.4,,
tungaloy,CAT50EM3/8X2.500,end_mill,CAT50,28.45,31.7,,
tungaloy,CAT50EM3/8X2.500B,end_mill,CAT50,28.45,31.7,,
tungaloy,CAT50EM3/8X4.500,end_mill,CAT50,79.25,31.7,,
tungaloy,CAT50EM3/8X6.500,end_mill,CAT50,139.7,31.7,,
tungaloy,CAT50EM3/8X6.500B,end_mill,CAT50,139.7,31.7,,
tungaloy,CAT50EM1/2X2.625,end_mill,CAT50,31.62,44.5,,
tungaloy,CAT50EM1/2X2.625B,end_mill,CAT50,31.62,44.5,,
tungaloy,CAT50EM1/2X4.625,end_mill,CAT50,82.42,44.5,,
tungaloy,CAT50EM1/2X4.625B,end_mill,CAT50,82.42,44.5,,
tungaloy,CAT50EM1/2X6.625,end_mill,CAT50,149.22,44.5,,
tungaloy,CAT50EM1/2X6.625B,end_mill,CAT50,149.22,44.5,,
tungaloy,CAT50EM5/8X3.750,end_mill,CAT50,60.2,44.5,,
tungaloy,CAT50EM5/8X3.750B,end_mill,CAT50,60.2,44.5,,
tungaloy,CAT50EM5/8X5.750,end_mill,CAT50,111,44.5,,
tungaloy,CAT50EM5/8X5.750B,end_mill,CAT50,111,44.5,,
tungaloy,CAT50EM5/8X7.750,end_mill,CAT50,177.8,44.5,,
tungaloy,CAT50EM3/4X3.750,end_mill,CAT50,60.2,45.01,,
tungaloy,CAT50EM3/4X3.750B,end_mill,CAT50,60.2,45.01,,
tungaloy,CAT50EM3/4X5.750,end_mill,CAT50,80.01,45.01,,
tungaloy,CAT50EM3/4X5.750B,end_mill,CAT50,80.01,45.01,,
tungaloy,CAT50EM3/4X7.750,end_mill,CAT50,177.8,45.01,,
tungaloy,CAT50EM3/4X7.750B,end_mill,CAT50,177.8,45.01,,
tungaloy,CAT50EM7/8X7.750,end_mill,CAT50,80.01,51.99,,
tungaloy,CAT50EM7/8X3.750,end_mill,CAT50,60.2,51.99,,
tungaloy,CAT50EM1X4.000,end_mill,CAT50,66.55,65,,
tungaloy,CAT50EM1X4.000B,end_mill,CAT50,66.55,65,,
tungaloy,CAT50EM1X6.000,end_mill,CAT50,117.35,65,,
tungaloy,CAT50EM1X6.000B,end_mill,CAT50,117.35,65,,
tungaloy,CAT50EM1X8.000,end_mill,CAT50,117.47,65,,
tungaloy,CAT50EM1-1/2X4.000,end_mill,CAT50,66.55,80.01,,
tungaloy,CAT50EM1-1/2X4.000B,end_mill,CAT50,66.55,80.01,,
tungaloy,CAT50EM1-1/2X6.000,end_mill,CAT50,117.35,80.01,,
tungaloy,CAT50EM1-1/2X8.000,end_mill,CAT50,168.15,80.01,,
tungaloy,CAT40FCSRKIN1/4X3.50,shrink_fit,CAT40,35.99,69.85,,
tungaloy,CAT40FCSRKIN3/8X3.75,shrink_fit,CAT40,76.2,24,,
tungaloy,CAT40FCSRKIN1/2X3.75,shrink_fit,CAT40,46.99,76.2,,
tungaloy,CAT40FCSRKIN5/8X3.75,shrink_fit,CAT40,76.2,27,,
tungaloy,CAT40FCSRKIN1X4.000,shrink_fit,CAT40,82.55,43.99,,
tungaloy,CAT50FCSRKIN1/2X3.75,shrink_fit,CAT50,46.99,76.2,,
tungaloy,CAT50FCSRKIN5/8X3.75,shrink_fit,CAT50,76.2,27,,
tungaloy,CAT50FCSRKIN3/4X4.00,shrink_fit,CAT50,51.99,82.55,,
tungaloy,CAT50FCSRKIN1X4.000,shrink_fit,CAT50,82.55,43.99,,
tungaloy,CAT50FCSRKIN1-1/4X4.0,shrink_fit,CAT50,51.99,82.55,,
tungaloy,CAT40SRKIN1/4X3.500,shrink_fit,CAT40,24.89,21.01,,
tungaloy,CAT40SRKIN5/16X3.500,shrink_fit,CAT40,69.85,21.01,,
tungaloy,CAT40SRKIN3/8X3.750,shrink_fit,CAT40,30.99,24,,
tungaloy,CAT40SRKIN7/16X3.750,shrink_fit,CAT40,76.2,24,,
tungaloy,CAT40SRKIN1/2X3.750,shrink_fit,CAT40,36.07,24,,
tungaloy,CAT40SRKIN5/8X3.750,shrink_fit,CAT40,76.2,27,,
tungaloy,CAT40SRKIN3/4X4.000,shrink_fit,CAT40,40.89,32.99,,
tungaloy,CAT40SRKIN7/8X4.000,shrink_fit,CAT40,82.55,43.99,,
tungaloy,CAT40SRKIN1X4.000,shrink_fit,CAT40,46.99,43.99,,
tungaloy,CAT40SRKIN1-1/4X4.000,shrink_fit,CAT40,82.55,43.99,,
tungaloy,CAT50SRKIN1/4X3.500,shrink_fit,CAT50,24.89,21.01,,
tungaloy,CAT50SRKIN5/16X3.500,shrink_fit,CAT50,68.58,21.01,,
tungaloy,CAT50SRKIN3/8X3.750,shrink_fit,CAT50,30.99,24,,
tungaloy,CAT50SRKIN7/16X3.750,shrink_fit,CAT50,76.2,24,,
tungaloy,CAT50SRKIN1/2X3.750,shrink_fit,CAT50,36.07,24,,
tungaloy,CAT50SRKIN5/8X3.750,shrink_fit,CAT50,76.2,27,,
tungaloy,CAT50SRKIN3/4X4.000,shrink_fit,CAT50,40.89,32.99,,
tungaloy,CAT50SRKIN7/8X4.000,shrink_fit,CAT50,82.55,43.99,,
tungaloy,CAT50SRKIN1X4.000,shrink_fit,CAT50,46.99,43.99,,
big_daishowa,BBT30-MEGA3S-45T,collet_chuck,BBT30,45,,40000,3
big_daishowa,BBT30-MEGA6S-60T,collet_chuck,BBT30,60,,40000,3
big_daishowa,BBT30-MEGA8S-75T,collet_chuck,BBT30,75,,40000,3
big_daishowa,BBT40-MEGA3S-60T,collet_chuck,BBT40,60,,35000,3
big_daishowa,BBT40-MEGA6S-60T,collet_chuck,BBT40,60,,35000,3
big_daishowa,BBT40-MEGA8S-90T,collet_chuck,BBT40,90,,30000,3
big_daishowa,HSK-A40-MEGA3S-75T,collet_chuck,HSK-A40,75,,32000,3
big_daishowa,HSK-A40-MEGA6S-60T,collet_chuck,HSK-A40,60,,35000,3
big_daishowa,HSK-A63-MEGA3S-75T,collet_chuck,HSK-A63,75,,32000,3
big_daishowa,HSK-A63-MEGA6S-60T,collet_chuck,HSK-A63,60,,35000,3
big_daishowa,HSK-A63-MEGA8S-90T,collet_chuck,HSK-A63,90,,30000,3
big_daishowa,C4-MEGA3S-60T,collet_chuck,Capto-C4,60,,35000,3
big_daishowa,C4-MEGA6S-60T,collet_chuck,Capto-C4,60,,30000,3
big_daishowa,C6-MEGA6S-120T,collet_chuck,Capto-C6,120,,22000,3
big_daishowa,BBT30-MEGA6N-60,collet_chuck,BBT30,60,,40000,3
big_daishowa,BBT30-MEGA10N-60,collet_chuck,BBT30,60,,40000,3
big_daishowa,BBT30-MEGA16N-60,collet_chuck,BBT30,60,,35000,3
big_daishowa,BBT30-MEGA20N-60,collet_chuck,BBT30,60,,30000,3
big_daishowa,BBT40-MEGA6N-60,collet_chuck,BBT40,60,,35000,3
big_daishowa,BBT40-MEGA10N-60,collet_chuck,BBT40,60,,35000,3
big_daishowa,BBT40-MEGA16N-60,collet_chuck,BBT40,60,,35000,3
big_daishowa,BBT40-MEGA20N-60,collet_chuck,BBT40,60,,35000,3
big_daishowa,BBT40-MEGA25N-75,collet_chuck,BBT40,75,,20000,3
big_daishowa,BBT50-MEGA6N-90,collet_chuck,BBT50,90,,20000,3
big_daishowa,C4-MEGA6N-75,collet_chuck,Capto-C4,75,,30000,3
big_daishowa,C5-MEGA6N-60,collet_chuck,Capto-C5,60,,35000,3
big_daishowa,C6-MEGA10N-60,collet_chuck,Capto-C6,60,,35000,3
big_daishowa,C8-MEGA13N-90,collet_chuck,Capto-C8,90,,20000,3
big_daishowa,BBT30-MEGA6E-60,collet_chuck,BBT30,60,,40000,3
big_daishowa,BBT30-MEGA13E-60,collet_chuck,BBT30,60,,40000,3
big_daishowa,BBT40-MEGA6E-60,collet_chuck,BBT40,60,,35000,3
big_daishowa,BBT40-MEGA13E-60,collet_chuck,BBT40,60,,30000,3
big_daishowa,HSK-A63-MEGA6E-75,collet_chuck,HSK-A63,75,,32000,3
big_daishowa,HSK-A63-MEGA13E-75,collet_chuck,HSK-A63,75,,28000,3
big_daishowa,C5-MEGA8E-55,collet_chuck,Capto-C5,55,,35000,3
big_daishowa,C6-MEGA13E-65,collet_chuck,Capto-C6,65,,30000,3
big_daishowa,BBT30-MEGAER16-60,collet_chuck,BBT30,60,,35000,3
big_daishowa,BBT40-MEGAER16-60,collet_chuck,BBT40,60,,35000,3
big_daishowa,BBT40-MEGAER32-75,collet_chuck,BBT40,75,,25000,3
big_daishowa,HSK-A63-MEGAER32-90,collet_chuck,HSK-A63,90,,25000,3
big_daishowa,BBT30-MEGA12DS-58,power_chuck,BBT30,58,,30000,3
big_daishowa,BBT30-MEGA20DS-65,power_chuck,BBT30,65,,25000,3
big_daishowa,BBT40-MEGA16DS-75A,power_chuck,BBT40,75,,30000,3
big_daishowa,BBT40-MEGA20DS-75A,power_chuck,BBT40,75,,30000,3
big_daishowa,BBT40-MEGA25DS-75A,power_chuck,BBT40,75,,27000,3
big_daishowa,BBT40-MEGA32DS-90A,power_chuck,BBT40,90,,26000,3
big_daishowa,BBT50-MEGA20DS-105,power_chuck,BBT50,105,,20000,3
big_daishowa,BBT50-MEGA32DS-105,power_chuck,BBT50,105,,20000,3
big_daishowa,BBT50-MEGA42DS-105,power_chuck,BBT50,105,,15000,3
big_daishowa,BBT50-MEGA50DS-120,power_chuck,BBT50,120,,13000,3
big_daishowa,HSK-A63-MEGA16DS-75,power_chuck,HSK-A63,75,,30000,3
big_daishowa,HSK-A63-MEGA20DS-75,power_chuck,HSK-A63,75,,30000,3
big_daishowa,HSK-A100-MEGA20DS-105,power_chuck,HSK-A100,105,,20000,3
big_daishowa,HSK-A100-MEGA32DS-105,power_chuck,HSK-A100,105,,20000,3
big_daishowa,C5-MEGA16DS-65A,power_chuck,Capto-C5,65,,30000,3
big_daishowa,C6-MEGA20DS-75A,power_chuck,Capto-C6,75,,30000,3
big_daishowa,BBT40-MEGA16DPG-75,milling_chuck,BBT40,75,,30000,3
big_daishowa,BBT40-MEGA20DPG-100,milling_chuck,BBT40,100,,30000,3
big_daishowa,BBT50-MEGA25DPG-105,milling_chuck,BBT50,105,,20000,3
big_daishowa,BBT50-MEGA32DPG-105,milling_chuck,BBT50,105,,20000,3
big_daishowa,HSK-A63-MEGA16DPG-90,milling_chuck,HSK-A63,90,,28000,3
big_daishowa,HSK-A63-MEGA20DPG-100,milling_chuck,HSK-A63,100,,25000,3
big_daishowa,HSK-A100-MEGA25DPG-105,milling_chuck,HSK-A100,105,,20000,3
big_daishowa,HSK-A100-MEGA32DPG-115,milling_chuck,HSK-A100,115,,18000,3
big_daishowa,BBT30-HMC16S-70,milling_chuck,BBT30,70,,30000,5
big_daishowa,BBT30-HMC25S-90,milling_chuck,BBT30,90,,25000,5
big_daishowa,BBT40-HMC20S-75,milling_chuck,BBT40,75,,30000,5
big_daishowa,BBT40-HMC25S-75,milling_chuck,BBT40,75,,28000,5
big_daishowa,BBT40-HMC32S-90,milling_chuck,BBT40,90,,26000,5
big_daishowa,BBT50-HMC20S-105,milling_chuck,BBT50,105,,20000,5
big_daishowa,BBT50-HMC32S-105,milling_chuck,BBT50,105,,20000,5
big_daishowa,HSK-A63-HMC20S-90,milling_chuck,HSK-A63,90,,30000,5
big_daishowa,HSK-A63-HMC25S-100,milling_chuck,HSK-A63,100,,28000,5
big_daishowa,HSK-A63-HMC32S-110,milling_chuck,HSK-A63,110,,25000,5
big_daishowa,HSK-A100-HMC20S-105,milling_chuck,HSK-A100,105,,20000,5
big_daishowa,HSK-A100-HMC32S-115,milling_chuck,HSK-A100,115,,20000,5
big_daishowa,HSK-A100-HMC42S-115,milling_chuck,HSK-A100,115,,18000,5
big_daishowa,BBT30-HDC3S-60,hydraulic,BBT30,60,,35000,3
big_daishowa,BBT30-HDC6S-60,hydraulic,BBT30,60,,35000,3
big_daishowa,BBT30-HDC12S-90,hydraulic,BBT30,90,,35000,3
big_daishowa,BBT40-HDC6S-110,hydraulic,BBT40,110,,30000,3
big_daishowa,BBT40-HDC10S-110,hydraulic,BBT40,110,,30000,3
big_daishowa,BBT40-HDC12S-110,hydraulic,BBT40,110,,30000,3
big_daishowa,BBT50-HDC6S-150,hydraulic,BBT50,150,,20000,3
big_daishowa,BBT50-HDC12S-150,hydraulic,BBT50,150,,20000,3
big_daishowa,HSK-A40-HDC6S-75,hydraulic,HSK-A40,75,,40000,3
big_daishowa,HSK-A40-HDC12S-80,hydraulic,HSK-A40,80,,35000,3
big_daishowa,HSK-A63-HDC6S-120,hydraulic,HSK-A63,120,,30000,3
big_daishowa,HSK-A63-HDC12S-120,hydraulic,HSK-A63,120,,30000,3
big_daishowa,HSK-A100-HDC6S-150,hydraulic,HSK-A100,150,,20000,3
big_daishowa,HSK-A100-HDC12S-150,hydraulic,HSK-A100,150,,20000,3
big_daishowa,BBT40-HDC.250-2.5,hydraulic,BBT40,63.5,,40000,3
big_daishowa,BBT40-HDC.500-2.5,hydraulic,BBT40,63.5,,40000,3
big_daishowa,BBT40-HDC.750-3,hydraulic,BBT40,76.2,,40000,3
big_daishowa,BBT40-HDC1.000-3,hydraulic,BBT40,76.2,,35000,3
big_daishowa,BBT40-HDC1.250-3.5,hydraulic,BBT40,88.9,,30000,3
big_daishowa,HSK-A63-HDC6J-90,hydraulic,HSK-A63,90,,30000,3
big_daishowa,HSK-A63-HDC12J-90,hydraulic,HSK-A63,90,,30000,3
big_daishowa,HSK-A63-HDC20J-120,hydraulic,HSK-A63,120,,25000,3
big_daishowa,HSK-A63-HDC32J-120,hydraulic,HSK-A63,120,,20000,3
big_daishowa,BCV40-SFC.250-3.5,shrink_fit,CAT40,88.9,,40000,3
big_daishowa,BCV40-SFC.500-3.5,shrink_fit,CAT40,88.9,,35000,3
big_daishowa,BCV40-SFC.750-4,shrink_fit,CAT40,101.6,,30000,3
big_daishowa,BCV40-SFC1.000-4,shrink_fit,CAT40,101.6,,25000,3
big_daishowa,BCV50-SFC.500-4,shrink_fit,CAT50,101.6,,20000,3
big_daishowa,BCV50-SFC1.000-4,shrink_fit,CAT50,101.6,,15000,3
big_daishowa,BCV50-SFC1.250-4,shrink_fit,CAT50,101.6,,12000,3
big_daishowa,BBT30-SRC6-75,shrink_fit,BBT30,75,,40000,3
big_daishowa,BBT30-SRC10-75,shrink_fit,BBT30,75,,35000,3
big_daishowa,BBT30-SRC12-75,shrink_fit,BBT30,75,,30000,3
big_daishowa,BBT40-SRC6-90,shrink_fit,BBT40,90,,35000,3
big_daishowa,BBT40-SRC10-90,shrink_fit,BBT40,90,,30000,3
big_daishowa,BBT40-SRC12-90,shrink_fit,BBT40,90,,28000,3
big_daishowa,BBT40-SRC16-90,shrink_fit,BBT40,90,,25000,3
big_daishowa,BBT40-SRC20-90,shrink_fit,BBT40,90,,22000,3
big_daishowa,BBT30-SFC.250-3,shrink_fit,BBT30,76.2,,40000,3
big_daishowa,BBT30-SFC.500-3,shrink_fit,BBT30,76.2,,35000,3
big_daishowa,BBT40-SFC.500-3.5,shrink_fit,BBT40,88.9,,30000,3
big_daishowa,BBT40-SFC.750-4,shrink_fit,BBT40,101.6,,25000,3
big_daishowa,BBT40-SFC1.000-4,shrink_fit,BBT40,101.6,,20000,3
big_daishowa,BBT30-SRC6S-105,shrink_fit,BBT30,105,,35000,3
big_daishowa,BBT30-SRC12S-105,shrink_fit,BBT30,105,,30000,3
big_daishowa,BBT40-SRC6S-120,shrink_fit,BBT40,120,,30000,3
big_daishowa,BBT40-SRC12S-120,shrink_fit,BBT40,120,,25000,3
big_daishowa,HSK-A63-SRC6-90,shrink_fit,HSK-A63,90,,30000,3
big_daishowa,HSK-A63-SRC10-90,shrink_fit,HSK-A63,90,,28000,3
big_daishowa,HSK-A63-SRC12-90,shrink_fit,HSK-A63,90,,25000,3
big_daishowa,HSK-A63-SRC16-90,shrink_fit,HSK-A63,90,,22000,3
big_daishowa,HSK-A63-SRC20-90,shrink_fit,HSK-A63,90,,20000,3
big_daishowa,HSK-A63-SRC6S-120,shrink_fit,HSK-A63,120,,28000,3
big_daishowa,HSK-A63-SRC12S-120,shrink_fit,HSK-A63,120,,22000,3
haimer,HAIMER-CAT40-shrink_fit-3.0,shrink_fit,CAT40,,10,,
haimer,HAIMER-CAT40-shrink_fit-4.0,shrink_fit,CAT40,,10,,
haimer,.12.4,shrink_fit,CAT40,160,32,,
haimer,.14.4,shrink_fit,CAT40,160,34,,
haimer,.16.4,shrink_fit,CAT40,160,34,,
haimer,.20.4,shrink_fit,CAT40,160,42,,
haimer,.25.4,shrink_fit,CAT40,160,53,,
haimer,HAIMER-CAT40-shrink_fit-32.0,shrink_fit,CAT40,,53,,
haimer,.06.47,shrink_fit,CAT40,80,27,,
haimer,.16.47,shrink_fit,CAT40,80,34,,
haimer,.20.47,shrink_fit,CAT40,80,42,,
haimer,.25.47,shrink_fit,CAT40,100,53,,
haimer,.32.47,shrink_fit,CAT40,100,53,,
haimer,7 .3/8z.37,shrink_fit,CAT40,160.02,44.45,,
haimer,.1/2z.37,shrink_fit,CAT40,160.02,44.45,,
haimer,.5/8z.37,shrink_fit,CAT40,160.02,44.45,,
haimer,.3/4z.37,shrink_fit,CAT40,160.02,44.45,,
haimer,.10.37,shrink_fit,CAT40,160,44.45,,
haimer,.1/8z.8,shrink_fit,CAT40,199.9,8.89,,
haimer,.3/16z.8,shrink_fit,CAT40,199.9,10.92,,
haimer,.3/8z.8,shrink_fit,CAT40,199.9,16,,
haimer,.1/2z.8,shrink_fit,CAT40,199.9,18.03,,
haimer,––,shrink_fit,CAT40,199.9,24.13,,
haimer,––,shrink_fit,CAT40,100.08,8.89,,
haimer,––,shrink_fit,CAT40,100.08,10.92,,
haimer,––,shrink_fit,CAT40,100.08,11.94,,
haimer,––,shrink_fit,CAT40,100.08,16,,
haimer,.0033,shrink_fit,CAT40,80.01,20.57,,
haimer,.03.8,shrink_fit,CAT40,200,9,,
haimer,.04.8,shrink_fit,CAT40,200,10,,
haimer,.05.8,shrink_fit,CAT40,200,11,,
haimer,.06.8,shrink_fit,CAT40,200,12,,
haimer,.08.8,shrink_fit,CAT40,200,14,,
haimer,.10.8,shrink_fit,CAT40,200,16,,
haimer,.12.8,shrink_fit,CAT40,200,18,,
haimer,––,shrink_fit,CAT40,200,24,,
haimer,.2.08,shrink_fit,CAT40,100,10,,
haimer,.2.09,shrink_fit,CAT40,100,12,,
haimer,.1/4Z.4,shrink_fit,CAT50,160.02,26.92,,
haimer,.5/16Z.4,shrink_fit,CAT50,160.02,26.92,,
haimer,.3/8Z.4,shrink_fit,CAT50,160.02,32,,
haimer,.5/8Z.4,shrink_fit,CAT50,160.02,34.04,,
haimer,.3/4Z.4,shrink_fit,CAT50,160.02,41.91,,
haimer,.7/8Z.4,shrink_fit,CAT50,160.02,41.91,,
haimer,.1Z.4,shrink_fit,CAT50,160.02,53.09,,
haimer,.06.4,shrink_fit,CAT50,160,27,,
haimer,.08.4,shrink_fit,CAT50,160,27,,
haimer,.10.4,shrink_fit,CAT50,160,32,,
haimer,.16.4,shrink_fit,CAT50,160,34,,
haimer,HAIMER-CAT50-shrink_fit-18.0,shrink_fit,CAT50,,42,,
haimer,.20.4,shrink_fit,CAT50,160,42,,
haimer,.25.4,shrink_fit,CAT50,160,53,,
haimer,.32.4,shrink_fit,CAT50,160,53,,
haimer,.3/8z.37,shrink_fit,CAT50,199.9,69.85,,
