"index","hwnd","class","text","visible"
"330","68136","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"331","68138","WindowsForms10.COMBOBOX.app.0.1a0e24_r7_ad1","","True"
"332","1378378","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Edit","True"
"333","4393182","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Custom Table","True"
"334","1837040","WindowsForms10.SysTabControl32.app.0.1a0e24_r7_ad1","","True"
"335","1313046","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","Cutting Data","True"
"336","5572170","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","","True"
"337","6424708","WindowsForms10.RICHEDIT50W.app.0.1a0e24_r7_ad1","","True"
"338","3212800","msctls_updown32","","True"
"339","2689024","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"340","2359364","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","","True"
"341","10422058","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","","True"
"342","2951072","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","","True"
"343","4130854","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","","True"
"344","3016102","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","","True"
"345","853600","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","","True"
"346","2033130","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"347","3081806","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","True"
"348","984706","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Input","True"
"349","1836518","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Result","True"
"350","1050724","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","True"
"351","133680","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","You are Up to Date","True"
"352","4458610","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","","True"
"353","2295438","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","","True"
"354","329110","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","","True"
"355","3016402","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Translate HSMAdvisor","True"
